Nom;Prénom;Autres_formes_du_Nom;Naissance;Mort;Genre;Ville;Rue;Indication;Enseigne;Note;Informations;Lien_IdRef;Ids;ISNI;Liste_Identifiants;Identifiant_BnF
Alliot;Gervais;Aliot, Gervais;;1654;M;Paris;dans la cour du Palais;proche la chapelle Saint-Michel;;;"Imprimeur-libraire. Recu apprenti en avril 1607. Veuve attestée en 1654,Paris : 1621-1654 ; Au (ou : Dans la cour du) Palais, contre (ou : proche; près; vis-à-vis) la chapelle Saint-Michel (, et en sa maison, rue Saint-Jean-de-Latran) - À l|Arbre verdoyant";http://www.idref.fr/03099831X/id;http://isni.org/isni/0000000121202363;isni:0000000121202363;http://isni.org/isni/0000000121202363,http://data.bnf.fr/ark:/12148/cb12230200z#foaf:Person,http://viaf.org/viaf/9901426;12230200
Anguerrand;Pierre;Angueran, Pierre (imprimeur-libraire),Anguerrant, Pierre (imprimeur-libraire);;;M;Paris;sur le Pont-Neuf;proche la Samaritaine;;;"Paris : 1639?-1659? ; Sur le Pont-Neuf, proche la porte de la Samaritaine ; Rue Sainte-Anne (, proche le Palais) ; Sur le Pont-Neuf ; Rue de la Monnaie ; Rue Saint-Germain,Autre(s) graphie(s) : Anguerant ; Anguerran. Compagnon imprimeur attesté dès août 1636 ; établi libraire (1639) puis imprimeur (1641) sans avoir été reçu maître. En fév. 1650, il étale encore sur le Pont-Neuf malgré les défenses qui lui en ont été faites en août 1649. Encore qualifié dimprimeur-libraire en mai 1659, bien quil ne figure pas parmi les imprimeurs recensés en juillet 1657";http://www.idref.fr/032087837/id;http://isni.org/isni/000000000183522X;isni:000000000183522X;http://data.bnf.fr/ark:/12148/cb123185474#foaf:Person,http://isni.org/isni/000000000183522X,http://viaf.org/viaf/32066404;12318547
Ardoin;Philippe;;;;M;;;;;;;;;;;
Augé;(veuve Jean);;;;F;;;;;;;;;;;
Badier;Florimond;;;;M;Paris;;près de Saint-Hilaire;A limage Saint-Paul;;;;http://viaf.org/viaf/305191467;viaf:305191467;;
Ballard;Robert;Ballard III, Robert;1610;1672-10;M;Paris;rue Saint-Jean-de-Beauvais;;Au Mont Parnasse;seul imprimeur du roi pour la musique.;"À partir de 1666, travaille en association avec son fils Christophe Ballard,Imprimeur-libraire ; seul imprimeur du Roi pour la musique (1639). Fils et successeur de Pierre I Ballard. Dénommé aussi Robert III pour le distinguer de son oncle Robert (II) (1572?-1650?), luthiste du Roi. Recu maître en janv. 1640, il semble avoir commencé à exercer dès 1638. Aurait succédé à son père comme commissaire de lartillerie. Consul (janv. 1650) ; juge consul (janv. 1666) ; administrateur des hôpitaux de Paris. Nommé en 1666 noteur de la chapelle du Roi. . Décédé en oct. 1672.,Paris : 1638?-1672 ; Rue Saint-Jean-de-Beauvais - Au (ou : À lenseigne du) Mont Parnasse";http://www.idref.fr/031108482/id;http://isni.org/isni/0000000364366936;isni:0000000364366936;http://isni.org/isni/0000000364366936,http://data.bnf.fr/ark:/12148/cb122387964#foaf:Person,http://viaf.org/viaf/227858736;12238796
Balthazar;Pierre;;;;M;Paris;au Puits-Certain;;;;;;http://viaf.org/viaf/107626047;viaf:107626047;;
Barbier;Guillaume;Barbier I, Guillaume;;1665;M;Lyon;rue Mercière;en la place de Confort;;imprimeur du roi à Lyon.;"Imprimeur-libraire ; imprimeur ordinaire du Roi (1647). Originaire de Chalon-sur-Saône. Établi à Lyon vers 1633. En apprentissage jusquen oct. 1643 chez Jacques Roussin dont il rachète le fonds (dès sept. 1643) et à qui il succède. Beau-frère du libraire François Comba. Veuve attestée à partir de 1665,Associé à Jean-Aimé Candy entre 1648 et 1651 au moins ; à Jean Girin et François Comba de 1658 à 1663 ; à Philippe et Pierre Borde et à Laurent Arnaud de 1663 à 1665,Devise(s) : Vincit Prudentia vires. Saloque soloque coeloque,Lyon : 1643-1665 ; Rue Mercière ; En la place de Confort";http://www.idref.fr/031108571/id;http://viaf.org/viaf/225408084;viaf:225408084;http://viaf.org/viaf/225408084,http://data.bnf.fr/ark:/12148/cb12238804x#foaf:Person;12238804
Bazavoine;Pierre;;;;M;Paris;rue Montmartre;;;;Lieu dactivité : Paris. Dates dactivité : 1652. Adresse : Rue Montmartre. Enseigne : À lImage Notre Dame,Imprimeur-libraire. Publie une mazarinade en 1652. Peut-être sagit-il dun pseudonyme;http://www.idref.fr/241357489/id;http://isni.org/isni/0000000077087715;isni:0000000077087715;http://isni.org/isni/0000000077087715,http://data.bnf.fr/ark:/12148/cb16178704v#foaf:Person,http://viaf.org/viaf/107056930;16178704
Beauplet;David;;;;M;;;;;;;;;;;
Beley;Martin;;;;M;Paris;;proche le Puy-certain;;;;;http://viaf.org/viaf/107634852;viaf:107634852;;
Belgrand;Simon;Belgrand, S.;1624;1655;M;Toul;;;;imprimeur du roi à Toul.;Imprimeur du roi à Toul (Meurthe-et-Moselle). Activité attestée en 1647. Associé avec Jean Laurent.;http://www.idref.fr/157482405/id;http://viaf.org/viaf/288496523;viaf:288496523;http://viaf.org/viaf/288496523;
Bellaire;Isaac;;;;M;;;;;;;;;;;
Belley;Jacques;Bellay, Jacques,Barlay, Jacques,Beley, Jacques,Bellé, Jacques,Berlay, Jacques;;1688;M;Paris;;près de Saint-Hilaire;;;"Paris,Autre(s) graphie(s) : Belé ; Belles. - Libraire-relieur. - Reçu maître le 15 janv. 1637. Père de Nicolas I Belley, libraire et relieur. Publie des mazarinades entre 1650 et 1652. Semble avoir rédigé lui-même au moins une partie des pièces quil publie en 1650. Travaille notamment pour Gaston dOrléans. Exerce jusquen 1652 au moins. Décédé après le 29 oct. 1687. Son fils lui succède aux mêmes adresse et enseigne en 1689";http://www.idref.fr/229597920/id;http://viaf.org/viaf/107054092;viaf:107054092;http://data.bnf.fr/ark:/12148/cb161779494#foaf:Person,http://viaf.org/viaf/107054092;16177949
Beltrinklt le Jeune;Samuel;;;;M;Anvers;;;;;;;http://viaf.org/viaf/12160725775810182220;viaf:12160725775810182220;;
Benar;Louis;;;;M;;;;;;;;;;;
Berlay;Martin;;;;M;;;;;marchand libraire.;;;http://viaf.org/viaf/107634852;viaf:107634852;;
Bernard;;;;;M;;;;;;;;;;;
Berthelin;Jean;Berthelin I, Jean (1577-1652);1577-10;1652-06-23;M;Rouen;dans la cour du Palais;;;;"Devise(s) : Cuncta in tempore,A souvent travaillé en association avec ses beaux-frères Jacques I Besongne et David Du Petit Val,Libraire. Reçu maître en 1602 en qualité de gendre de Raphae͏̈l Du Petit Val, semble avoir exercé dès janv. 1601. Dit âgé de 74 ans et 8 mois lors de son décès (juin 1652),Le Petit-Quevilly (Quevilly) : 1601?-1652,Rouen : 1601?-1652 ; Dans la cour du Palais";http://www.idref.fr/03098551X/id;http://isni.org/isni/0000000108849250;isni:0000000108849250;http://isni.org/isni/0000000108849250,http://data.bnf.fr/ark:/12148/cb12229229n#foaf:Person,http://viaf.org/viaf/32049192;12229229
Berthelin;Jean II;Berthelin, Jean,Berthelinus, Joannes;1616;1672-12-09;M;Rouen;dans la cour du Palais;;;;"Travaille fréquemment en association avec son frère puîné David Berthelin,Devise(s) : Cuncta in tempore,Libraire. - Fils et successeur du libraire de Rouen Jean I Berthelin. De confession calviniste. Reçu maître dès le 11 nov. 1631 et établi vers 1644. Neveu par alliance (déc. 1657) du pasteur de Charenton Charles Drelincourt. Objet de nombreuses saisies et poursuites judiciaires entre 1659 et 1666. Dit âgé de 56 ans lors de son décès (Rouen, 9 déc. 1672),Adresse : Le Petit-Quevilly (Quevilly) (1644?-1672),Adresse : Rouen (1644?-1672) ; Rue aux Juifs (, près lamaison de ville) ; Dans la cour du Palais";http://www.idref.fr/030985536/id;http://isni.org/isni/0000000066454743;isni:0000000066454743;http://isni.org/isni/0000000066454743,http://data.bnf.fr/ark:/12148/cb12229230v#foaf:Person,http://viaf.org/viaf/66518695;12229230
Besongne;Cardin;Besogne, Cardin,Besongne, Gardin;;1671-05;M;Paris;rue dÉcosse;près de Saint-Hilaire;;;"Paris : 1627-1671 ; Rue dÉcosse, au Mont Saint-Hilaire (ou : près Saint-Hilaire) ; Au Palais, au haut de la montée de la Sainte-Chapelle ; Au Palais (, dans la galerie des Prisonniers) - Au Chapeau royal - Aux Roses vermeilles,Libraire. Vraisemblablement originaire de Rouen, il est recu apprenti en cette ville, chez Jacques I Besongne, en 1611. À nouveau (?) en apprentissage à Paris en 1618. Reçu maître en fév. 1627,Devise(s) : Ex dolore gaudium";http://www.idref.fr/031109772/id;http://isni.org/isni/0000000109284925;isni:0000000109284925;http://isni.org/isni/0000000109284925,http://data.bnf.fr/ark:/12148/cb122388952#foaf:Person,http://viaf.org/viaf/99903006;12238895
Besongne;Jacques;Besongne II, Jacques (1614-1699);1614;1699-05-03;M;Paris;en la cour du Palais;;;;"Devise(s) : Concordia insuperabilis,Rouen : 1638?-1699? ; Dans la cour du (ou : Au) Palais,Libraire. Fils de Jacques I Besongne, à qui il succède en 1638 ou peu avant ; neveu et fréquent associé de David Du Petit Val et de Jean I Berthelin. Dit âgé de 53 ans et demi en mai 1668 et de 85 ans ou environ lors de son décès (mai 1699)";http://www.idref.fr/066760542/id;http://isni.org/isni/0000000109055604;isni:0000000109055604;http://data.bnf.fr/ark:/12148/cb122302975#foaf:Person,http://isni.org/isni/0000000109055604,http://viaf.org/viaf/59135640;12230297
Bessin;Jean;;;;M;Paris;rue de Reims;près de la grande porte du collège;;;"Né avant 1600 : quittance dapprentissage en 1613. Veuve attestée en 1666,Paris : 1621-1663 ; Rue de Reims, près le Collège (ou : près la grand-porte du Collège)";http://www.idref.fr/030985587/id;http://isni.org/isni/0000000371384884;isni:0000000371384884;http://data.bnf.fr/ark:/12148/cb122292347#foaf:Person,http://isni.org/isni/0000000371384884,http://viaf.org/viaf/251012722;12229234
Bessin;Nicolas;Bessin II, Nicolas (162.?-167.);;;M;Paris;au Palais en lallée Saint-Michel;;;;"Paris : 1642-167 ; Rue de Reims, près le collège ; Rue Saint-Jean-de-Beauvais ; Au Palais (, en lallée (de la chapelle) Saint-Michel, vis-à-vis de la porte de la rue),Fils et successeur de Jacques I Bessin ; gendre dAdrien Bacot. Recu maître en mars 1642. Encore en activité en 1669, mais veuve attestée lors de la visite de mars 1679";http://www.idref.fr/031109810/id;http://isni.org/isni/0000000371172953;isni:0000000371172953;http://data.bnf.fr/ark:/12148/cb122388983#foaf:Person,http://isni.org/isni/0000000371172953,http://viaf.org/viaf/224423024;12238898
