Nom,Prénom,Lieu,Note,Enseigne,Informations,ISNI,Ids,Type,Ville,Rue,Indication,Enseigne_2,Coordonnées
Alliot,Gervais,"proche la chapelle Saint-Michel, dans la cour du Palais.",,,"['Imprimeur-libraire. Recu apprenti en avril 1607. Veuve attestée en 1654', ""Paris : 1621-1654 ; Au (ou : Dans la cour du) Palais, contre (ou : proche; près; vis-à-vis) la chapelle Saint-Michel (, et en sa maison, rue Saint-Jean-de-Latran) - À l'|Arbre verdoyant""]",isni:0000000121202363,http://isni.org/isni/0000000121202363,Imprimeur,Paris,dans la cour du Palais,proche la chapelle Saint-Michel,,
Anguerrand,Pierre,"sur le Pont-Neuf, proche la Samaritaine.",,,"['Paris : 1639?-1659? ; Sur le Pont-Neuf, proche la porte de la Samaritaine ; Rue Sainte-Anne (, proche le Palais) ; Sur le Pont-Neuf ; Rue de la Monnaie ; Rue Saint-Germain', 'Autre(s) graphie(s) : Anguerant ; Anguerran. Compagnon imprimeur attesté dès août 1636 ; établi libraire (1639) puis imprimeur (1641) sans avoir été reçu maître. En fév. 1650, il étale encore sur le Pont-Neuf malgré les défenses qui lui en ont été faites en août 1649. Encore qualifié d'""imprimeur-libraire"" en mai 1659, bien qu'il ne figure pas parmi les imprimeurs recensés en juillet 1657']",isni:000000000183522X,http://isni.org/isni/000000000183522X,Imprimeur,Paris,sur le Pont-Neuf,proche la Samaritaine,,
Ardoin,Philippe,proche Saint-Étienne.,,,,,,Imprimeur,Paris,,proche Saint-Étienne,,
Augé,(veuve Jean),"rue Saint-Jean de Latran, proche le collège des Trois-Évêques.",,,,,,Imprimeur,Paris,rue Saint-Jean de Latran,proche le collège des Trois-Évêques,,
Badier,Florimond,"A l’image Saint-Paul, près de Saint-Hilaire.",,,,viaf:305191467,http://viaf.org/viaf/305191467,Imprimeur,Paris,,près de Saint-Hilaire,A l’image Saint-Paul,
Ballard,Robert,,seul imprimeur du roi pour la musique.,,"['À partir de 1666, travaille en association avec son fils Christophe Ballard', ""Imprimeur-libraire ; seul imprimeur du Roi pour la musique (1639). Fils et successeur de Pierre I Ballard. Dénommé aussi Robert III pour le distinguer de son oncle Robert (II) (1572?-1650?), luthiste du Roi. Recu maître en janv. 1640, il semble avoir commencé à exercer dès 1638. Aurait succédé à son père comme commissaire de l'artillerie. Consul (janv. 1650) ; juge consul (janv. 1666) ; administrateur des hôpitaux de Paris. Nommé en 1666 noteur de la chapelle du Roi. . Décédé en oct. 1672."", ""Paris : 1638?-1672 ; Rue Saint-Jean-de-Beauvais - Au (ou : À l'enseigne du) Mont Parnasse""]",isni:0000000364366936,http://isni.org/isni/0000000364366936,Imprimeur,Paris,rue Saint-Jean-de-Beauvais,,Au Mont Parnasse,
Balthazar,Pierre,au Puits-Certain.,,,,viaf:107626047,http://viaf.org/viaf/107626047,Imprimeur,Paris,au Puits-Certain,,,
Barbier,Guillaume,Lyon,imprimeur du roi à Lyon.,,"[""Imprimeur-libraire ; imprimeur ordinaire du Roi (1647). Originaire de Chalon-sur-Saône. Établi à Lyon vers 1633. En apprentissage jusqu'en oct. 1643 chez Jacques Roussin dont il rachète le fonds (dès sept. 1643) et à qui il succède. Beau-frère du libraire François Comba. Veuve attestée à partir de 1665"", 'Associé à Jean-Aimé Candy entre 1648 et 1651 au moins ; à Jean Girin et François Comba de 1658 à 1663 ; à Philippe et Pierre Borde et à Laurent Arnaud de 1663 à 1665', 'Devise(s) : Vincit Prudentia vires. Saloque soloque coeloque', 'Lyon : 1643-1665 ; Rue Mercière ; En la place de Confort']",viaf:225408084,http://viaf.org/viaf/225408084,Imprimeur,Lyon,rue Mercière,en la place de Confort,,
Belley,Jacques,près de Saint-Hilaire.,,,"['Paris',""Autre(s) graphie(s) : Belé ; Belles. - Libraire-relieur. - Reçu maître le 15 janv. 1637. Père de Nicolas I Belley, libraire et relieur. Publie des mazarinades entre 1650 et 1652. Semble avoir rédigé lui-même au moins une partie des pièces qu'il publie en 1650. Travaille notamment pour Gaston d'Orléans. Exerce jusqu'en 1652 au moins. Décédé après le 29 oct. 1687. Son fils lui succède aux mêmes adresse et enseigne en 1689""]",viaf:107054092,http://viaf.org/viaf/107054092,Imprimeur,Paris,,près de Saint-Hilaire,,
Bazavoine,Pierre,rue Montmartre.,,À l'Image Notre Dame,"[""Lieu d'activité : Paris. Dates d'activité : 1652. Adresse : Rue Montmartre. Enseigne : À l'Image Notre Dame"", ""Imprimeur-libraire. Publie une mazarinade en 1652. Peut-être s'agit-il d'un pseudonyme""]",isni:0000000077087715,http://isni.org/isni/0000000077087715,Imprimeur,Paris,rue Montmartre,,,
